,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
11223,70333008,215 BLUE POINT PKWY,7/29/20,2020,7,2020-7,422000,2018,2791,151.2002866,33.436588,-84.515688,13113140305,West Fayette,POINT (-84.515688 33.436588)
7308,61114006,110 BRAELINN CTS,11/20/20,2020,11,2020-11,245000,1987,1620,151.2345679,33.3841758,-84.5637172,13113140303,West Fayette,POINT (-84.5637172 33.3841758)
6083,73432015,704 S FAIRFIELD DR,3/16/20,2020,3,2020-3,165000,1996,1091,151.2373969,33.4092782,-84.5985743,13113140209,West Fayette,POINT (-84.5985743 33.4092782)
9023,60821032,106 BILTMORE TRCE,5/12/21,2021,5,2021-5,505000,1991,3339,151.2428871,33.3707645,-84.5338709,13113140307,South Fayette,POINT (-84.5338709 33.3707645)
11332,60908056,207 RUSKIN RD,7/13/20,2020,7,2020-7,278000,1988,1838,151.2513602,33.3514526,-84.5349356,13113140308,South Fayette,POINT (-84.5349356 33.3514526)
8477,50205011,110 JOHNS PT,1/31/23,2023,1,2023-1,450000,1998,2974,151.3113652,33.3990119,-84.4879456,13113140405,Fayetteville,POINT (-84.4879456 33.3990119)
5280,53107033,130 MIMOSA DR,8/28/20,2020,8,2020-8,189000,1971,1249,151.3210568,33.4548524,-84.4407521,13113140406,Fayetteville,POINT (-84.4407521 33.4548524)
2925,44105003,345 HOUSMAN DR,4/30/19,2019,4,2019-4,405000,2002,2676,151.3452915,33.3658877,-84.4396462,13113140501,South Fayette,POINT (-84.4396462 33.3658877)
8903,74313004,121 KENMARE ROW,5/27/21,2021,5,2021-5,585000,2014,3865,151.3583441,33.454534,-84.614296,13113140210,West Fayette,POINT (-84.614296 33.454534)
1927,60824024,202 MUIRFIELD WAY,9/9/20,2020,9,2020-9,445000,1993,2940,151.3605442,33.365184,-84.5470969,13113140309,South Fayette,POINT (-84.5470969 33.365184)
9126,60710054,178 ROCKSPRAY RDG,1/27/22,2022,1,2022-1,470000,1986,3105,151.3687601,33.3785187,-84.546278,13113140309,South Fayette,POINT (-84.546278 33.3785187)
11277,74606002,210 AMELIA LN,7/22/20,2020,7,2020-7,358000,2003,2365,151.3742072,33.4120008,-84.6113209,13113140210,West Fayette,POINT (-84.6113209 33.4120008)
14700,73420032,510 N FAIRFIELD DR,8/24/18,2018,8,2018-8,202400,1994,1337,151.3836948,33.4109042,-84.5996435,13113140209,West Fayette,POINT (-84.5996435 33.4109042)
4690,70412002,113 WATERLACE WAY,6/4/18,2018,6,2018-6,448000,2011,2959,151.4025008,33.441677,-84.516066,13113140305,West Fayette,POINT (-84.516066 33.441677)
5506,73926005,160 TRICKUM CREEK RD,1/25/19,2019,1,2019-1,547500,2005,3616,151.4103982,33.492356,-84.6036309,13113140203,West Fayette,POINT (-84.6036309 33.492356)
8625,73531047,611 CUNNINGHAME CT,9/30/22,2022,9,2022-9,469990,2022,3104,151.4143041,33.4247005,-84.6065561,13113140210,West Fayette,POINT (-84.6065561 33.4247005)
4252,73531031,376 CALEDONIA CT,11/30/22,2022,11,2022-11,474990,2022,3137,151.415365,33.4242794,-84.606413,13113140210,West Fayette,POINT (-84.606413 33.4242794)
7328,44210009,400 EAS WAY,11/24/20,2020,11,2020-11,389900,2016,2575,151.4174757,33.3651,-84.431697,13113140501,South Fayette,POINT (-84.431697 33.3651)
8647,73531039,354 CALEDONIA CT,9/30/22,2022,9,2022-9,470000,2022,3104,151.4175258,33.4250344,-84.6060304,13113140210,West Fayette,POINT (-84.6060304 33.4250344)
6080,74625008,422 SOUTHBRIDGE PASS,4/3/20,2020,4,2020-4,351163,2020,2319,151.428633,33.418509,-84.6143472,13113140210,West Fayette,POINT (-84.6143472 33.418509)
12642,70415002,118 WATERLACE WAY,9/16/21,2021,9,2021-9,550000,2013,3632,151.4317181,33.4407998,-84.5149685,13113140305,West Fayette,POINT (-84.5149685 33.4407998)
10116,60408002,115 BRAMLET CT,4/12/18,2018,4,2018-4,305000,1999,2014,151.4399206,33.3386583,-84.5222803,13113140307,South Fayette,POINT (-84.5222803 33.3386583)
4201,61113010,175 ROCKSPRAY RDG,7/10/19,2019,7,2019-7,335000,1987,2212,151.4466546,33.3788813,-84.5515595,13113140309,South Fayette,POINT (-84.5515595 33.3788813)
1752,51604020,195 LAKELAND CIR,9/30/20,2020,9,2020-9,425000,1993,2806,151.4611547,33.4306016,-84.4776093,13113140404,Fayetteville,POINT (-84.4776093 33.4306016)
7059,71703012,120 FOUNTAIN HEAD,10/30/20,2020,10,2020-10,289000,1981,1908,151.4675052,33.3940759,-84.5608315,13113140304,West Fayette,POINT (-84.5608315 33.3940759)
3056,45107002,320 BIRKDALE DR,4/4/19,2019,4,2019-4,550000,1989,3631,151.4734233,33.3808482,-84.4984981,13113140501,South Fayette,POINT (-84.4984981 33.3808482)
14211,61107035,114 ROCK MULL,12/13/22,2022,12,2022-12,317500,1984,2096,151.4790076,33.3823333,-84.5564042,13113140304,West Fayette,POINT (-84.5564042 33.3823333)
773,0510  060,149 CHEROKEE PL,10/15/21,2021,10,2021-10,800000,2001,5281,151.4864609,33.411913,-84.4681674,13113140405,Fayetteville,POINT (-84.4681674 33.411913)
5592,0710  105,701 ADAMS RD,1/11/19,2019,1,2019-1,335000,2018,2211,151.5151515,33.4916487,-84.5479175,13113140204,West Fayette,POINT (-84.5479175 33.4916487)
6157,74614016,102 FAIRGATE DR,4/27/20,2020,4,2020-4,390000,2017,2574,151.5151515,33.4152069,-84.6087034,13113140210,West Fayette,POINT (-84.6087034 33.4152069)
4166,60410013,110 DENSMORR RDG,7/15/19,2019,7,2019-7,372000,2000,2455,151.5274949,33.3309902,-84.5213587,13113140307,South Fayette,POINT (-84.5213587 33.3309902)
13502,52502010,105 CLEAR CREEK CT,3/4/22,2022,3,2022-3,317000,1987,2092,151.5296367,33.445639,-84.4163433,13113140410,Fayetteville,POINT (-84.4163433 33.445639)
3073,72822012,135 GRAE CT,12/31/19,2019,12,2019-12,509000,2019,3359,151.5331944,33.4547881,-84.5790029,13113140203,West Fayette,POINT (-84.5790029 33.4547881)
4627,60706047,312 HAMDON KELLS,6/13/18,2018,6,2018-6,329000,1986,2171,151.5430677,33.3824065,-84.5442718,13113140304,West Fayette,POINT (-84.5442718 33.3824065)
9191,52421020,115 PELHAM CT,1/13/22,2022,1,2022-1,373000,2001,2461,151.5644047,33.4410745,-84.4352571,13113140410,Fayetteville,POINT (-84.4352571 33.4410745)
14089,72603025,130 DAISY HL,12/30/22,2022,12,2022-12,400000,2005,2639,151.5725654,33.4886281,-84.580742,13113140204,West Fayette,POINT (-84.580742 33.4886281)
14546,60813002,325 KENSINGTON DR,8/2/18,2018,8,2018-8,375000,1989,2474,151.5763945,33.354997,-84.5400134,13113140308,South Fayette,POINT (-84.5400134 33.354997)
