,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month
2768,073517039,137 ARDENLEE,2019-05-16,295000.0,1996,1512,137 Ardenlee Fayette County GA,073517039-5/16/2019-295000.0,195.1058201058201,2019,2019,5,2019-5
2769,074518013,250 SILVER MAPLE CT,2019-05-08,392960.0,2019,1784,250 Silver Maple Ct Fayette County GA,074518013-5/8/2019-392960.0,220.26905829596413,2019,2019,5,2019-5
2770,052501006,105 BRIERWOOD DR,2019-04-26,226162.0,1979,1602,105 Brierwood Dr Fayette County GA,052501006-4/26/2019-226162.0,141.17478152309613,2019,2019,4,2019-4
2771,053501067,100 TALL PINE DR,2019-04-18,229551.0,1973,2178,100 Tall Pine Dr Fayette County GA,053501067-4/18/2019-229551.0,105.39531680440771,2019,2019,4,2019-4
2772,073517036,131 ARDENLEE,2019-04-26,317000.0,1996,1647,131 Ardenlee Fayette County GA,073517036-4/26/2019-317000.0,192.47115968427443,2019,2019,4,2019-4
2773,053903018,406 BANKS RD,2019-04-15,200000.0,1973,1997,406 Banks Rd Fayette County GA,053903018-4/15/2019-200000.0,100.150225338007,2019,2019,4,2019-4
2774,071814014,105 SOUTHERN TRACE CT,2019-04-15,717500.0,1993,4301,105 Southern Trace Ct Fayette County GA,071814014-4/15/2019-717500.0,166.82166937921414,2019,2019,4,2019-4
2775,070906003,125 ELYSIAN DR,2019-05-24,445400.0,2019,4418,125 Elysian Dr Fayette County GA,070906003-5/24/2019-445400.0,100.81484834766863,2019,2019,5,2019-5
2776,073502004,407 TABERON RD,2019-04-09,365000.0,1992,2131,407 Taberon Rd Fayette County GA,073502004-4/9/2019-365000.0,171.28108869075552,2019,2019,4,2019-4
2777,072001037,1056 OAK RIDGE DR,2019-05-31,265000.0,1983,2450,1056 Oak Ridge Dr Fayette County GA,072001037-5/31/2019-265000.0,108.16326530612245,2019,2019,5,2019-5
2778,073920001,102 WESTMONT WAY,2019-05-29,372500.0,2005,3758,102 Westmont Way Fayette County GA,073920001-5/29/2019-372500.0,99.12187333688132,2019,2019,5,2019-5
2779,060811012,111 COLONNADE DR,2019-05-07,395000.0,1988,3027,111 Colonnade Dr Fayette County GA,060811012-5/7/2019-395000.0,130.49223653782624,2019,2019,5,2019-5
2780,061118091,201 VALLEY VW,2019-05-29,175000.0,1991,1236,201 Valley Vw Fayette County GA,061118091-5/29/2019-175000.0,141.58576051779934,2019,2019,5,2019-5
2781,074302001,345 CASTLEWOOD RD,2019-05-24,309000.0,1988,2317,345 Castlewood Rd Fayette County GA,074302001-5/24/2019-309000.0,133.36210617177383,2019,2019,5,2019-5
2782,073112009,104 GREENSWAY,2019-05-22,347000.0,1984,3241,104 Greensway Fayette County GA,073112009-5/22/2019-347000.0,107.06572045664919,2019,2019,5,2019-5
