,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month,url,lat,long
4410,43701002,110 LULLWOOD CT,11/4/22,725000,1998,3444,110%20Lullwood%20Ct%20Fayette%20County%20GA,043701002-11/4/2022-725000.0,210.5110337,2022,2022,11,2022-11,https://www.google.com/maps/search/110%20Lullwood%20Ct%20Fayette%20County%20GA,33.343521,-84.4943183
4411,73009060,201 CHATTAN TR,11/4/22,630000,1992,2818,201%20Chattan%20Tr%20Fayette%20County%20GA,073009060-11/4/2022-630000.0,223.5628105,2022,2022,11,2022-11,https://www.google.com/maps/search/201%20Chattan%20Tr%20Fayette%20County%20GA,33.4222967,-84.5864295
4412,52211006,260 CORNWALLIS WAY,11/4/22,285000,1991,1402,260%20Cornwallis%20Way%20Fayette%20County%20GA,052211006-11/4/2022-285000.0,203.2810271,2022,2022,11,2022-11,https://www.google.com/maps/search/260%20Cornwallis%20Way%20Fayette%20County%20GA,33.4534334,-84.4754441
4413,0727  001,912 TYRONE RD,11/4/22,190000,1976,1695,912%20Tyrone%20Rd%20Fayette%20County%20GA,0727  001-11/4/2022-190000.0,112.0943953,2022,2022,11,2022-11,https://www.google.com/maps/search/912%20Tyrone%20Rd%20Fayette%20County%20GA,33.4747447,-84.5786551
4414,72824005,105 ANNABELLE LN,11/4/22,670460,2021,4229,105%20Annabelle%20Ln%20Fayette%20County%20GA,072824005-11/4/2022-670460.0,158.5386616,2022,2022,11,2022-11,https://www.google.com/maps/search/105%20Annabelle%20Ln%20Fayette%20County%20GA,33.456899,-84.575883
4415,51807013,160 WOODGATE CIR,11/4/22,299000,1993,1484,160%20Woodgate%20Cir%20Fayette%20County%20GA,051807013-11/4/2022-299000.0,201.4824798,2022,2022,11,2022-11,https://www.google.com/maps/search/160%20Woodgate%20Cir%20Fayette%20County%20GA,33.437251,-84.4515504
4416,54902022,145 CATHARINE LN,11/4/22,309000,1981,1872,145%20Catharine%20Ln%20Fayette%20County%20GA,054902022-11/4/2022-309000.0,165.0641026,2022,2022,11,2022-11,https://www.google.com/maps/search/145%20Catharine%20Ln%20Fayette%20County%20GA,33.5161956,-84.4697458
4417,73515016,310 TURTLE BAY,11/4/22,585000,1997,2049,310%20Turtle%20Bay%20Fayette%20County%20GA,073515016-11/4/2022-585000.0,285.5051245,2022,2022,11,2022-11,https://www.google.com/maps/search/310%20Turtle%20Bay%20Fayette%20County%20GA,33.4332546,-84.5923618
4418,74501009,134 RED MAPLE DR,11/3/22,683206,2016,3025,134%20Red%20Maple%20Dr%20Fayette%20County%20GA,074501009-11/3/2022-683206.0,225.8532231,2022,2022,11,2022-11,https://www.google.com/maps/search/134%20Red%20Maple%20Dr%20Fayette%20County%20GA,33.4328149,-84.6118934
4419,53504013,300 CAMELOT DR,11/3/22,580128,1987,4255,300%20Camelot%20Dr%20Fayette%20County%20GA,053504013-11/3/2022-580128.0,136.3403055,2022,2022,11,2022-11,https://www.google.com/maps/search/300%20Camelot%20Dr%20Fayette%20County%20GA,33.4806453,-84.4984776
